XYZ (13541 points)
3954.602 4965.400 99.653
3817.341 5074.066 100.000
3594.871 5030.056 98.479
3625.666 4992.162 97.323
3656.462 4954.269 98.608
3687.257 4916.375 100.000
3672.888 5175.670 98.479
3636.617 5139.763 98.988
3600.346 5103.856 100.000
3664.404 5228.869 99.795
3570.995 5227.939 100.000
3389.672 5197.966 100.000
3433.895 5201.884 97.794
3478.117 5205.801 100.000
3257.923 5255.080 100.000
3301.686 5224.564 100.000
3193.005 5328.925 98.967
4803.473 4149.024 90.000
3232.890 5622.629 100.000
2912.781 5649.170 100.000
2960.913 5642.611 100.000
3009.046 5636.053 96.312
2724.574 5668.583 98.054
2771.266 5664.298 91.919
2817.958 5660.014 98.270
2590.117 5692.497 100.000
2634.000 5682.682 100.000
2556.305 5743.035 100.000
2617.692 5814.198 100.000
2567.070 5865.218 100.000
2618.039 5854.927 100.000
2334.301 5706.590 100.000
2407.021 5774.158 98.608
2443.381 5807.941 98.251
2479.741 5841.725 100.000
2304.323 5338.538 100.000
2255.946 5339.721 100.000
2498.303 5336.602 100.000
2634.874 5258.085 100.000
2745.115 5160.399 100.000
2718.388 5196.317 100.000
2784.240 5063.504 100.000
2850.366 5013.038 100.000
2900.375 4974.199 98.050
2971.155 4904.626 99.854
3047.629 4910.864 100.000
3129.960 4811.514 100.000
3105.795 4847.493 100.000
3296.193 4747.380 99.901
3248.837 4756.766 100.000
3201.481 4766.151 100.000
3303.154 4660.804 98.065
3323.352 4699.399 100.000
3344.132 4551.044 100.000
3428.240 4589.021 100.000
3481.191 4589.732 100.000
3493.196 4429.710 100.000
3505.612 4486.589 100.000
3574.104 4297.356 100.000
3690.392 4351.280 100.000
3742.330 4276.658 100.000
3863.112 4117.231 100.000
3821.836 4142.007 100.000
4045.028 3910.413 100.000
4016.900 3946.821 100.000
3988.772 3983.230 100.000
3960.645 4019.638 100.000
3932.517 4056.047 99.915
4099.654 3916.195 100.000
4222.145 3905.382 100.000
4174.149 3931.884 100.000
4274.486 3839.792 100.000
4329.212 3718.038 100.000
4304.022 3759.372 98.387
4268.415 3643.403 100.000
4311.408 3660.054 100.000
4337.006 3503.688 99.659
4299.811 3544.710 100.000
4262.616 3585.731 98.090
4431.394 4460.773 99.968
4306.284 4607.675 99.968
4342.011 4573.570 98.531
4197.802 4693.527 99.765
4096.176 4801.622 99.953
4128.475 4756.396 99.978
2255.622 5750.232 100.000
2305.367 5829.751 98.427
2378.348 5937.604 97.343
2229.550 5895.495 100.000
2121.041 5783.307 100.000
1749.160 5739.319 97.726
1794.778 5725.990 95.966
1840.397 5712.661 98.756
1886.016 5699.332 98.378
1931.635 5686.003 99.716
1977.253 5672.674 100.000
1565.357 5774.556 99.731
1611.418 5767.253 98.850
1657.480 5759.951 99.641
1485.095 5801.770 98.494
1456.438 5858.425 100.000
4793.819 4148.247 90.000
1319.627 5824.597 100.000
1361.808 5834.926 100.000
1095.011 5764.333 100.000
1144.413 5786.067 100.000
997.284 5745.707 100.000
823.251 5789.935 100.000
865.154 5776.228 99.629
907.056 5762.521 100.000
769.130 5723.054 100.000
882.422 5652.002 100.000
842.328 5669.506 100.000
833.469 5532.530 100.000
863.151 5566.520 100.000
4784.166 4147.470 90.000
737.466 5412.117 100.000
578.839 5266.469 99.344
621.206 5300.444 99.879
759.690 5263.407 100.000
707.010 5239.588 100.000
864.032 5371.600 100.000
838.201 5329.413 100.000
983.649 5463.753 100.000
1136.161 5530.661 100.000
1083.352 5509.699 99.990
1294.349 5573.323 100.000
1241.660 5562.473 100.000
1541.257 5542.358 100.000
1492.702 5552.812 100.000
1444.148 5563.266 100.000
1965.582 5408.228 100.000
1918.611 5423.687 100.000
1871.639 5439.146 100.000
1824.668 5454.606 100.000
1777.697 5470.065 100.000
1730.726 5485.525 100.000
1683.755 5500.985 100.000
1636.783 5516.444 100.000
4774.513 4146.693 90.000
4881.297 4113.264 90.233
4270.642 3309.354 96.243
4186.527 3082.596 99.466
4890.412 4127.502 90.196
4078.249 2915.079 100.000
3921.824 2806.903 97.645
3830.662 2684.663 100.000
4897.829 4139.089 90.243
4904.035 4148.784 90.000
4870.658 4060.859 90.000
4870.725 4078.855 90.000
4161.486 2865.081 90.000
4499.067 3045.707 90.000
4884.375 3964.164 100.000
4880.929 3983.839 100.000
6006.104 4556.701 70.000
4944.062 3917.382 92.211
4678.169 3016.088 90.011
4906.567 3935.454 99.120
4553.427 3204.853 90.000
4516.822 3341.819 90.000
4284.870 3404.562 97.671
4203.350 3127.948 97.467
4220.173 3173.299 96.513
4236.996 3218.651 96.583
4253.819 3264.002 96.834
4105.039 3061.937 99.144
4107.826 2954.015 98.993
4071.644 2861.084 100.000
4017.300 2807.027 90.001
3788.034 2659.217 100.000
3789.738 2608.088 100.000
3866.386 2612.619 99.999
3896.362 2686.270 99.994
4149.310 2818.507 89.998
4223.886 2962.522 90.000
4192.686 2913.802 90.000
4316.170 3092.864 90.000
4285.628 3052.054 90.000
4460.978 3067.699 90.000
4422.890 3089.691 90.000
4384.801 3111.683 90.000
4584.475 2862.986 90.000
4563.123 2908.666 90.000
4541.771 2954.346 90.000
4520.419 3000.027 90.000
4634.319 3093.597 90.011
4656.244 3054.843 90.011
4597.911 3202.791 90.013
4479.336 3252.513 90.000
4516.381 3228.683 90.000
5154.689 3933.492 90.183
4532.617 3378.132 90.000
5135.452 3929.694 89.850
5116.215 3925.896 90.610
4539.057 4404.840 99.988
4482.342 4440.498 99.997
5096.978 3922.098 95.556
5077.740 3918.300 96.731
4625.000 4062.000 90.213
4548.501 3515.941 90.000
4548.457 3465.193 90.000
5058.503 3914.501 97.842
4551.853 3664.028 90.000
4573.351 3760.246 90.000
4625.491 4041.176 90.228
4626.001 4019.570 90.195
4626.550 3996.325 90.140
4627.161 3970.444 90.133
4627.861 3940.755 90.144
4628.681 3906.002 90.088
4629.644 3865.221 90.155
4630.745 3818.546 90.111
4623.181 4122.215 90.117
4623.537 4110.437 90.133
4624.445 4080.373 90.160
15905.760 4361.905 -20.000
5039.266 3910.703 96.743
17224.180 1123.854 0.000
5020.029 3906.905 97.409
16645.244 724.490 20.000
16469.039 754.252 29.990
16292.835 784.015 20.541
17002.354 887.488 39.484
17695.709 3285.662 -12.284
17628.348 2976.833 -3.167
17493.625 2359.173 0.186
17426.264 2050.343 2.208
17358.902 1741.514 3.985
17291.541 1432.684 7.339
16096.492 4283.097 -20.000
16292.106 4202.272 -20.000
16497.402 4117.447 -20.000
16716.826 4026.785 -20.000
16953.783 3928.877 -20.000
17209.463 3823.235 -20.000
17481.443 3710.857 -20.000
5000.792 3903.107 98.647
12006.300 -367.008 0.000
11648.760 -1129.556 0.000
5904.656 4662.279 70.000
5903.697 4628.602 70.000
6265.687 4911.047 69.570
6284.080 4866.591 70.000
6301.622 4824.193 69.998
6318.094 4784.380 69.995
11930.906 4543.175 37.694
6333.435 4747.302 69.995
6347.704 4712.813 69.996
12222.642 5761.933 20.120
11149.937 604.274 7.626
11219.190 867.308 4.570
11280.230 1099.145 7.617
11332.472 1297.563 9.405
11376.905 1466.327 12.939
11415.077 1611.308 19.942
11448.513 1738.299 19.994
